DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	3q25.2	3	152335461	MBNL1	MBNL1			ENSG00000152601			rs4472028-T	rs4472028	0	4472028	intron_variant	0	0.444249850706694	2E-10	9.698970004336019		0.0453	[0.031-0.059] unit increase	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	3q26.2	3	171048829	TNIK	SLC2A2 - TNIK	ENSG00000163581	ENSG00000154310		22086	9585	rs11925227-A	rs11925227	0	11925227	intron_variant	1	0.183438659087805	2E-8	7.698970004336019		0.0534	[0.035-0.072] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	3q27.2	3	185795604	IGF2BP2	IGF2BP2			ENSG00000073792			rs7651090-G	rs7651090	0	7651090	intron_variant	0	0.313376825056666	4E-57	56.39794000867204		0.1204	[0.11-0.14] unit increase	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	3q27.3	3	186947857	ST6GAL1	ST6GAL1			ENSG00000073849			rs3887925-C	rs3887925	0	3887925	intron_variant	0	0.446828440266774	2E-9	8.698970004336019		0.0474	[0.032-0.063] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	3q27.3	3	188022735	LOC107986166, LPP	LINC01991 - LPP-AS2	ENSG00000224187	ENSG00000270959		46328	128471	rs6808574-T	rs6808574	0	6808574	intergenic_variant	1	0.390373750851738	4E-13	12.397940008672037		0.0552	[0.04-0.07] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	4p16.1	4	6301295	WFS1	WFS1			ENSG00000109501			rs1801214-C	rs1801214	0	1801214	missense_variant	0	0.400415373416361	6E-34	33.221848749616356		0.0903	[0.076-0.105] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	4q12	4	52268127	SPATA18	SPATA18 - RNU6-1252P	ENSG00000163071	ENSG00000199924		170828	226722	rs17086692-T	rs17086692	0	17086692	intron_variant	1	0.313425861468874	2E-8	7.698970004336019		0.0467	[0.03-0.063] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	1q41	1	219487193	LOC102723886, LYPLAL1	LYPLAL1-AS1 - ZC3H11B	ENSG00000228536	ENSG00000215817		27824	120819	rs2820426-A	rs2820426	0	2820426	intergenic_variant	1	0.389942484385998	1E-12	12.0		0.0521	[0.038-0.066] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	4q24	4	103067742	SLC9B2	SLC9B2			ENSG00000164038			rs7674212-T	rs7674212	0	7674212	intron_variant	0	0.408864361771549	6E-10	9.221848749616356		0.0465	[0.032-0.061] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
2019-01-11	30054458	Xue A	2018-07-27	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/30054458	Genome-wide association analyses identify 143 risk variants and putative regulatory mechanisms for type 2 diabetes.	Type 2 diabetes	61,714 European ancestry cases, 1,178 Pakistani ancestry cases, 593,952 European ancestry controls, 2,472 Pakistani ancestry controls	NA	2p25.3	2	622827	TMEM18	LINC01875 - TMEM18	ENSG00000225942	ENSG00000151353		76160	41050	rs2867125-T	rs2867125	0	2867125	intergenic_variant	1	0.172175281510457	4E-10	9.397940008672037		0.0601	[0.041-0.079] unit decrease	NR [5035015] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST006867	Genome-wide genotyping array
