DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-07-11	28406950	Kim J	2017-04-13	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28406950	Interaction of iron status with single nucleotide polymorphisms on incidence of type 2 diabetes.	Type 2 diabetes	1,895 Korean ancestry cases, 6,040 Korean ancestry controls	NA	10q21.3	10	63341311	JMJD1C	JMJD1C			ENSG00000171988			rs10761745-?	rs10761745	0	10761745	intron_variant	0	NR	5E-6	5.301029995663981		1.2		Affymetrix [352228]	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST004305	Genome-wide genotyping array
2017-07-11	28406950	Kim J	2017-04-13	PLoS One	www.ncbi.nlm.nih.gov/pubmed/28406950	Interaction of iron status with single nucleotide polymorphisms on incidence of type 2 diabetes.	Type 2 diabetes	1,895 Korean ancestry cases, 6,040 Korean ancestry controls	NA	11p15.4	11	2817183	KCNQ1	KCNQ1			ENSG00000053918			rs163177-C	rs163177	0	163177	intron_variant	0	0.43	1E-6	6.0		1.21		Affymetrix [352228]	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST004305	Genome-wide genotyping array
2012-03-10	22293688	Huang J	2012-02-01	Eur J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/22293688	1000 Genomes-based imputation identifies novel and refined associations for the Wellcome Trust Case Control Consortium phase 1 Data.	Type 2 diabetes	16,179 European ancestry individuals	NA	9p21.3	9	22137686	CDKN2B	CDKN2B-AS1 - DMRTA1	ENSG00000240498	ENSG00000176399		9583	309138	rs7018475-?	rs7018475	0	7018475	intergenic_variant	1	NR	3E-8	7.522878745280337		1.35	[1.18-1.56]	NR [6233112] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST001397	Genome-wide genotyping array
2019-10-09	31513605	Jeon S	2019-09-12	PLoS One	www.ncbi.nlm.nih.gov/pubmed/31513605	Structural equation modeling for hypertension and type 2 diabetes based on multiple SNPs and multiple phenotypes.	Type 2 diabetes	8,842 Korean ancestry individuals	NA	4q32.3	4	167738950	intergenic	RN7SKP188 - ANXA10	ENSG00000222721	ENSG00000109511		75648	353587	rs11131794-?	rs11131794	0	11131794	intergenic_variant	1	NR	5E-6	5.301029995663981				NR [327872]	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST008827	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	1p34.3	1	39570014		PABPC4, PABPC4-AS1			ENSG00000090621, ENSG00000228060			rs17513135-?	rs17513135	0	17513135	splice_polypyrimidine_tract_variant	0	NR	4E-11	10.397940008672037				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	1p32.3	1	50790419		FAF1			ENSG00000185104			rs58432198-?	rs58432198	0	58432198	intron_variant	0	NR	2E-7	6.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	1p12	1	119918630		NOTCH2			ENSG00000134250			rs2793829-?	rs2793829	0	2793829	intron_variant	0	NR	2E-8	7.698970004336019				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	1q32.3	1	213985913		PROX1, PROX1-AS1			ENSG00000117707, ENSG00000230461			rs340874-?	rs340874	0	340874	non_coding_transcript_exon_variant	0	NR	3E-12	11.522878745280337				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	1q42.13	1	229537208		ABCB10			ENSG00000135776			rs348330-?	rs348330	0	348330	intron_variant	0	NR	9E-9	8.045757490560675				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
2019-02-08	30595370	Kichaev G	2018-12-27	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/30595370	Leveraging Polygenic Functional Enrichment to Improve GWAS Power.	Type 2 diabetes	approximately 459,000 European ancestry individuals	NA	2p23.3	2	27508073		GCKR			ENSG00000084734			rs1260326-?	rs1260326	0	1260326	missense_variant	0	NR	1E-15	15.0				NR [~ 8900000] (imputed)	N	type 2 diabetes mellitus	http://purl.obolibrary.org/obo/MONDO_0005148	GCST007077	Genome-wide genotyping array
